Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.239737,5.540927,5.239737,5.412679,3.950042,21923
2002-07-02,5.523439,5.537041,5.421423,5.443769,3.972731,61044
2002-07-03,5.505950,5.545785,5.328151,5.466116,3.989039,34160
2002-07-04,5.501093,5.572018,5.417537,5.528297,4.034419,27892
2002-07-05,5.563274,5.656546,5.474860,5.590478,4.079795,58976
2002-07-08,5.501093,5.718727,5.501093,5.625455,4.105322,48909
2002-07-09,5.590478,5.758562,5.568132,5.616711,4.098939,321846
2002-07-10,5.488462,5.488462,5.146465,5.222249,3.811071,138434
2002-07-11,4.978382,5.213504,4.978382,5.186300,3.784837,15027
2002-07-12,5.501093,5.501093,5.244595,5.319407,3.881974,24187
2002-07-15,5.324265,5.479718,5.191158,5.333009,3.891901,50330
2002-07-16,5.199902,5.438911,5.199902,5.315521,3.879138,24928
2002-07-17,4.702453,5.137721,4.618897,5.044449,3.681315,21356
2002-07-18,4.880252,5.146465,4.835559,5.080398,3.707552,27532
2002-07-19,5.026961,5.203789,5.022103,5.151323,3.759311,13380
2002-07-22,5.080398,5.146465,4.968666,4.973524,3.629558,21665
2002-07-23,4.818071,5.084284,4.818071,5.061938,3.694079,40161
2002-07-24,5.058051,5.128977,4.937575,5.061938,3.694079,34479
2002-07-25,5.058051,5.058051,4.791838,4.849162,3.538801,38185
2002-07-26,5.146465,5.146465,4.729657,4.871508,3.555108,51760
2002-07-29,4.223463,4.250667,3.903813,4.250667,3.102034,17188
2002-07-30,4.170026,4.325479,4.036920,4.276900,3.121178,66561
2002-07-31,4.179742,4.303133,4.148651,4.210833,3.072964,5557
2002-08-01,4.250667,4.516881,4.250667,4.458586,3.253768,31134
2002-08-02,4.068010,4.610153,4.068010,4.498421,3.282840,28211
2002-08-05,4.596550,4.791838,4.525625,4.791838,3.496969,18835
2002-08-06,4.627641,4.681078,4.627641,4.649987,3.393449,6690
2002-08-07,4.800582,4.854019,4.658732,4.752003,3.467896,24825
2002-08-08,4.791838,4.791838,4.614039,4.649987,3.393449,16581
2002-08-09,4.658732,4.702453,4.574204,4.702453,3.431736,32421
2002-08-12,4.614039,4.791838,4.614039,4.614039,3.367214,10807
2002-08-13,4.610153,4.702453,4.525625,4.574204,3.338144,11321
2002-08-14,4.569346,4.641243,4.525625,4.538256,3.311909,11908
2002-08-15,4.538256,4.538256,4.538256,4.538256,3.311909,0
2002-08-16,4.614039,4.693709,4.569346,4.645129,3.389903,7986
2002-08-19,4.525625,4.720913,4.516881,4.543113,3.315454,15449
2002-08-20,4.529511,4.529511,4.383774,4.427495,3.231079,17239
2002-08-21,4.525625,4.614039,4.436239,4.441097,3.241005,27326
2002-08-22,4.441097,4.441097,4.347826,4.436239,3.237460,6175
2002-08-23,4.458586,4.480932,4.458586,4.480932,3.270076,20842
2002-08-26,4.436239,4.436239,4.179742,4.436239,3.237460,5043
2002-08-27,4.480932,4.512023,4.436239,4.436239,3.237460,10817
2002-08-28,4.370172,4.560602,4.370172,4.410007,3.218316,3087
2002-08-29,4.401263,4.458586,4.347826,4.347826,3.172939,4888
2002-08-30,4.396405,4.574204,4.392518,4.525625,3.302691,13894
2002-09-02,4.370172,4.370172,4.347826,4.347826,3.172939,6947
2002-09-03,4.392518,4.396405,4.370172,4.370172,3.189246,9263
2002-09-04,4.392518,4.436239,4.383774,4.436239,3.237460,20173
2002-09-05,4.436239,4.472188,4.436239,4.467330,3.260149,1893
2002-09-06,4.347826,4.525625,4.347826,4.436239,3.237460,11836
2002-09-09,4.356570,4.414865,4.352683,4.401263,3.211935,4117
2002-09-10,4.401263,4.401263,4.401263,4.401263,3.211935,0
2002-09-11,4.396405,4.432353,4.347826,4.375030,3.192791,6432
2002-09-12,4.508136,4.508136,4.392518,4.445955,3.244551,3602
2002-09-13,4.436239,4.436239,4.392518,4.436239,3.237460,5866
2002-09-16,4.436239,4.458586,4.392518,4.432353,3.234624,24702
2002-09-17,4.436239,4.458586,4.418751,4.418751,3.224698,24938
2002-09-18,4.436239,4.463444,4.396405,4.410007,3.218316,17713
2002-09-19,4.356570,4.489676,4.356570,4.414865,3.221861,39379
2002-09-20,3.749332,4.436239,3.749332,4.423609,3.228242,14800
2002-09-23,4.498421,4.525625,4.392518,4.512023,3.292766,27079
2002-09-24,4.498421,4.498421,4.418751,4.436239,3.237460,26142
2002-09-25,4.352683,4.436239,4.347826,4.392518,3.205554,14512
2002-09-26,4.392518,4.392518,4.392518,4.392518,3.205554,0
2002-09-27,4.405149,4.410007,4.405149,4.410007,3.218316,3087
2002-09-30,4.418751,4.418751,4.392518,4.392518,3.205554,4117
2002-10-01,4.392518,4.436239,4.392518,4.396405,3.208391,5732
2002-10-02,4.396405,4.396405,4.396405,4.396405,3.208391,0
2002-10-03,4.347826,4.347826,4.347826,4.347826,3.172939,2058
2002-10-04,4.361428,4.378916,4.356570,4.356570,3.179320,6226
2002-10-07,4.401263,4.436239,4.392518,4.392518,3.205554,24135
2002-10-08,4.436239,4.436239,4.347826,4.370172,3.189246,18269
2002-10-09,4.316735,4.370172,4.312849,4.361428,3.182865,6895
2002-10-10,4.361428,4.361428,4.347826,4.352683,3.176483,1296
2002-10-11,4.356570,4.383774,4.347826,4.365314,3.185700,4487
2002-10-14,4.001943,4.547971,4.001943,4.436239,3.237460,3355
2002-10-15,4.436239,4.436239,4.436239,4.436239,3.237460,0
2002-10-16,4.356570,4.432353,4.356570,4.396405,3.208391,3602
2002-10-17,4.427495,4.436239,4.347826,4.427495,3.231079,22664
2002-10-18,4.347826,4.436239,4.347826,4.392518,3.205554,17857
2002-10-21,4.347826,4.449842,4.347826,4.436239,3.237460,50896
2002-10-22,4.365314,4.436239,4.259412,4.268156,3.114797,8614
2002-10-23,4.427495,4.427495,4.237065,4.250667,3.102034,71172
2002-10-24,4.174884,4.259412,4.170026,4.197230,3.063037,21418
2002-10-25,4.170026,4.259412,3.997085,4.179742,3.050275,125722
2002-10-28,4.170026,4.250667,4.170026,4.245810,3.098490,3983
2002-10-29,3.820257,4.179742,3.820257,4.174884,3.046729,4271
2002-10-30,4.361428,4.361428,4.174884,4.174884,3.046729,4425
2002-10-31,3.673548,4.259412,3.673548,4.232207,3.088562,15284
2002-11-01,4.135049,4.259412,4.135049,4.259412,3.108415,7873
2002-11-04,4.081612,4.081612,4.081612,4.081612,2.978662,1029
2002-11-05,4.086470,4.254554,4.086470,4.103959,2.994971,8820
2002-11-06,4.103959,4.103959,4.103959,4.103959,2.994971,0
2002-11-07,4.170026,4.170026,4.064124,4.068010,2.968735,9489
2002-11-08,4.046635,4.086470,4.046635,4.081612,2.978662,7719
2002-11-11,3.953364,4.117561,3.953364,4.117561,3.004897,13431
2002-11-12,4.024289,4.126305,4.019431,4.099101,2.991425,41427
2002-11-13,4.019431,4.245810,4.019431,4.201117,3.065873,13194
2002-11-14,4.223463,4.223463,4.036920,4.197230,3.063037,9129
